timestamp,index,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB]
2025/02/10 10:56:03.882, 0, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:03.885, 1, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:03.885, 2, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:03.885, 3, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:08.968, 0, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:08.969, 1, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:08.969, 2, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:08.969, 3, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:14.041, 0, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:14.042, 1, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:14.042, 2, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:14.043, 3, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:19.126, 0, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:19.126, 1, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:19.127, 2, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:19.127, 3, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:24.198, 0, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:24.200, 1, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:24.201, 2, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:24.201, 3, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:29.271, 0, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:29.272, 1, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:29.273, 2, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
2025/02/10 10:56:29.273, 3, NVIDIA A100-SXM4-40GB, 0 %, 425 MiB, 40960 MiB
